gene	mean_freq	max_freq	opt_temp	thermotype
TARA_009_SRF_0.22-1.6_G_C13632324_1_gene544040	0.6157169255346833	1	18.319192	medium
TARA_032_DCM_0.22-1.6_G_C14529078_1_gene362201	0.13372667545099587	0.5772707790067391	26.12925	high
TARA_038_DCM_0.22-1.6_G_scaffold280761_1_gene241415	0.10175723761579006	0.3454982315011155	26.12925	high
TARA_064_DCM_0.1-0.22_G_scaffold110164_1_gene107109	0.1594854101082716	0.4291159701490168	27.296125	high
TARA_064_DCM_0.22-3_G_scaffold295120_2_gene248839	0.06220505771784422	0.3694786617865335	27.635025	high
TARA_065_DCM_lt-0.22_G_C5096939_1_gene130925	0.056926850648487244	0.1631473766235758	25.681369	high
TARA_066_DCM_0.22-3_G_C6093718_1_gene228890	0.08976705115895642	0.39486670538135504	26.313595	high
TARA_066_DCM_lt-0.22_G_C3640627_1_gene77046	0.36477177579146025	1	23.635845	high
TARA_066_DCM_lt-0.22_G_scaffold39761_1_gene18411	0.01117747378027705	0.01254506769277092	15.014	medium
TARA_066_DCM_lt-0.22_G_C3726495_1_gene127366	0.09351902090559341	0.2792797965823715	27.296125	high
TARA_066_DCM_lt-0.22_G_C3732186_1_gene131192	0.01029493056016936	0.0126524590670785	15.013362	medium
TARA_066_SRF_0.22-3_G_scaffold153372_1_gene123470	0.067728597967328	0.22742619697282815	21.48665	high
TARA_066_SRF_lt-0.22_G_scaffold134741_2_gene112059	0.02323735683795172	0.1697575811536569	15.013362	medium
TARA_067_SRF_0.22-0.45_G_C17242166_1_gene403688	0.00695710687966287	0.00695710687966287	13.04322	medium
TARA_067_SRF_0.22-0.45_G_C17360860_1_gene463670	0.00165062426738075	0.00183526190094181	13.04322	medium
TARA_067_SRF_0.22-0.45_G_C17442180_1_gene509279	0.00408410783804322	0.00408410783804322	13.04322	medium
TARA_067_SRF_0.22-0.45_G_scaffold144377_1_gene142735	0.00569823564874372	0.00784581761667158	15.014	medium
TARA_067_SRF_0.22-0.45_G_scaffold66976_1_gene63193	0.012703993270298745	0.0177594353614239	13.04322	medium
TARA_067_SRF_0.22-0.45_G_scaffold68608_2_gene65086	0.19751809178220334	1	17.211742	medium
TARA_067_SRF_0.22-0.45_G_scaffold9433_1_gene8781	0.019583650924601702	0.10359584345285767	23.8141	high
TARA_067_SRF_0.22-3_G_scaffold30527_1_gene35755	0.004934581730385445	0.03236629328057877	13.04322	medium
TARA_067_SRF_0.22-3_G_scaffold35176_1_gene41262	0.012104751762956624	0.02208088693008883	13.04322	medium
TARA_067_SRF_0.22-3_G_scaffold38709_1_gene45384	0.16197625838246998	0.27700005633719915	18.122955	medium
TARA_067_SRF_0.45-0.8_G_C12492660_1_gene383784	0.01991733842477567	0.10178510568352012	16.3584	medium
TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127	0.11271734763557573	0.46714715721541794	13.04322	medium
TARA_067_SRF_0.45-0.8_G_scaffold277311_1_gene324113	0.009516514712105049	0.01420730757015664	13.04322	medium
TARA_067_SRF_0.45-0.8_G_scaffold77656_1_gene78812	0.006181851166462061	0.0120746077969275	13.04322	medium
TARA_067_SRF_lt-0.22_G_scaffold110274_1_gene108132	0.00553094888869682	0.01193766821515222	13.04322	medium
TARA_067_SRF_lt-0.22_G_C2526840_1_gene145192	0.14143821910154097	0.3454682755798554	16.60395	medium
TARA_067_SRF_lt-0.22_G_scaffold77676_1_gene65551	0.11068993615362956	0.11068993615362956	13.04322	medium
TARA_078_DCM_0.22-0.45_G_scaffold189671_1_gene148269	0.1026286400893283	0.6025418504459686	22.233095	high
TARA_078_SRF_0.22-0.45_G_scaffold145770_1_gene96930	0.08649858502380367	0.29270110230045493	19.32335	medium
TARA_082_DCM_0.22-3_G_C19456620_1_gene406327	0.00645456148354923	0.00922553761458553	7.481658	low
TARA_082_DCM_0.22-3_G_scaffold120588_2_gene114896	0.014094855454843253	0.02129286786224427	7.481658	low
TARA_082_DCM_0.22-3_G_scaffold104031_1_gene99802	0.04019809118749565	0.2041584007820968	1.9034	low
TARA_082_DCM_0.22-3_G_scaffold105827_1_gene101588	0.021815407662037125	0.08093650255769588	16.3584	medium
TARA_082_DCM_0.22-3_G_scaffold109576_1_gene104882	0.04974131943061002	0.07841091021427728	7.481658	low
TARA_082_DCM_0.22-3_G_scaffold78618_1_gene75306	0.015882971495497715	0.04603872577608996	15.9708	medium
TARA_082_SRF_0.22-3_G_scaffold160868_1_gene160643	0.01806202984551992	0.07854906465827137	7.579417	low
TARA_082_SRF_0.22-3_G_scaffold42092_1_gene40922	0.013070513289184061	0.01520835417724372	7.579417	low
TARA_102_DCM_0.22-3_G_C27267893_1_gene894632	0.42501401542652356	1	24.958885	high
TARA_133_DCM_0.22-3_G_C17443804_1_gene444883	0.07280311291622908	1	25.165975	high
TARA_133_DCM_0.22-3_G_scaffold328164_1_gene387933	0.5582716720786826	1	21.65917	high
TARA_141_SRF_0.22-3_G_scaffold252758_1_gene219695	0.04475042640114685	0.4491051143288545	27.1673	high
TARA_145_SRF_0.22-3_G_scaffold242061_1_gene241117	0.031832753415669816	0.09246730339151844	13.993715	medium
TARA_145_SRF_0.22-3_G_scaffold270121_1_gene276069	0.20478987418033057	0.20478987418033057	13.993715	medium
TARA_145_SRF_0.22-3_G_scaffold319742_1_gene363655	0.056803703226188884	0.11589551206223848	18.82554	medium
TARA_146_SRF_0.22-3_G_C15427777_1_gene470766	0.06123771806594639	0.17701751686883663	27.3097	high
TARA_149_SRF_0.22-3_G_C18390232_1_gene602455	0.04797190711539008	0.11590221037362144	18.82554	medium
TARA_149_SRF_0.22-3_G_scaffold163273_1_gene140816	0.0656745032367412	0.21579183391529697	17.585567	medium
TARA_149_SRF_0.22-3_G_scaffold218961_1_gene206753	0.04825231388391271	0.22660290709574996	17.585567	medium
TARA_149_SRF_0.22-3_G_scaffold218962_1_gene206754	0.06536114496584529	0.21292740417225495	19.312775	medium
TARA_149_SRF_0.22-3_G_scaffold246964_1_gene263373	0.10387208908207986	0.3136006432862468	21.48665	high
TARA_150_SRF_0.22-3_G_C22082902_1_gene583609	0.03751702884458002	0.16585401253260473	17.627142	medium
TARA_151_DCM_0.22-3_G_scaffold175905_1_gene147338	0.10181556082763756	0.3843452570790487	17.521075	medium
TARA_151_SRF_0.22-3_G_scaffold307958_1_gene278079	0.10591604347989272	0.7303757074011369	24.98644	high
TARA_152_MIX_0.22-3_G_scaffold253131_1_gene220687	0.06562331867110824	0.3334778416132033	15.9708	medium
TARA_152_MIX_0.22-3_G_scaffold179581_1_gene152542	0.07158290688263823	0.4816673896559835	14.31916	medium
TARA_158_DCM_0.22-3_G_scaffold102364_1_gene84925	0.018544521959837256	0.11487545839161266	8.47447	low
TARA_158_DCM_0.22-3_G_scaffold18046_1_gene14691	0.010291146522831255	0.03708014282400939	14.31916	medium
TARA_158_DCM_0.22-3_G_scaffold206820_1_gene176947	0.013110531621614716	0.04362941414113443	5.295265	low
TARA_158_DCM_0.22-3_G_scaffold266207_1_gene272483	0.005722636541660183	0.01753447917158533	5.295265	low
TARA_158_MES_0.22-3_G_scaffold181224_1_gene175183	0.02158011221898007	0.08541598359802557	8.47447	low
TARA_158_SRF_0.22-3_G_scaffold194498_1_gene182789	0.033176838095119975	0.08466135128936383	6.73489	low
TARA_158_SRF_0.22-3_G_scaffold256793_1_gene288753	0.0051871566615540885	0.01083260706908288	5.295265	low
TARA_168_DCM_0.22-3_G_scaffold166943_1_gene184245	0.007060154531366622	0.06211877366017995	3.824545	low
TARA_168_DCM_0.22-3_G_scaffold99293_1_gene106802	0.013689611325857946	0.07356187615261509	1.457935	low
TARA_168_DCM_lt-0.22_G_scaffold245246_1_gene407868	0.007545561716312718	0.0404031467277375	3.824545	low
TARA_168_IZZ_lt-0.22_G_scaffold346429_1_gene516824	0.009035432770805691	0.02452455174842986	7.48766	low
TARA_168_SRF_lt-0.22_G_scaffold53300_1_gene140902	0.18332094687069297	1	20.238088	high
TARA_173_DCM_0.22-3_G_scaffold110203_1_gene118285	0.06248787136368868	0.27826602111536247	-0.585333	low
TARA_173_DCM_0.22-3_G_scaffold115250_1_gene123507	0.03552860244644713	0.11122065866339297	1.48885	low
TARA_173_DCM_0.22-3_G_scaffold127823_1_gene136706	0.011858315067473807	0.03014608378817671	-0.160312	low
TARA_173_DCM_0.22-3_G_scaffold83603_1_gene90552	0.005199967224778076	0.01518549190257157	-1.53136	low
TARA_173_DCM_0.22-3_G_scaffold85527_1_gene92626	0.0650788246682593	0.18707072909546765	2.4534	low
TARA_173_DCM_0.22-3_G_scaffold85576_1_gene92682	0.04409419788012232	0.0933090655113953	-0.479225	low
TARA_175_SRF_0.22-3_G_scaffold135720_1_gene142538	0.020342068781895685	0.0720955511189957	-1.29785	low
